date,day,number,topic,unit
"8/24/26","M","1","Introduction to Artificial Intelligence -- history, definitions, capabilities, major paradigms",""
"8/26/26","W","2","Intelligent Agents -- rationality, agent models, percepts, actions",""
"8/28/26","F","3","Task Environments and Problem Formulation -- PEAS, environment properties, state-space models",""
"8/31/26","M","4","Uninformed Search I -- state spaces, tree search, BFS, DFS",""
"9/2/26","W","5","Uninformed Search II -- uniform-cost search, graph search, completeness and optimality",""
"9/4/26","F","6","Informed Search -- greedy best-first search, A*, heuristic functions",""
"9/7/26","M","Labor Day","",""
"9/9/26","W","7","Local Search -- hill climbing, simulated annealing, optimization landscapes",""
"9/11/26","F","8","Constraint Satisfaction I -- variables, domains, constraints, backtracking search",""
"9/14/26","M","9","Constraint Satisfaction II -- MRV, degree heuristic, LCV, forward checking, constraint propagation",""
"9/16/26","W","10","Adversarial Search I -- game trees, minimax, expectimax",""
"9/18/26","F","11","Adversarial Search II -- alpha-beta pruning, depth limits, evaluation functions",""
"9/21/26","M","12","Monte Carlo Tree Search -- simulation, exploration vs. exploitation, UCT",""
"9/23/26","W","13","Propositional Logic -- knowledge-based agents, syntax, semantics, entailment",""
"9/25/26","F","Personal Day","",""
"9/28/26","M","14","Propositional Inference -- logical equivalence, truth tables, inference",""
"9/30/26","W","15","Automated Logical Inference -- CNF, resolution, Horn clauses, forward/backward chaining",""
"10/2/26","F","16","First-Order Logic and Knowledge Representation -- predicates, quantifiers, relations, categories, taxonomies, ontologies, inheritance",""
"10/5/26","M","17","First-Order Logic Inference -- substitution, unification, generalized inference",""
"10/7/26","W","18","Probability and Bayesian Reasoning -- random variables, conditional probability, independence, Bayes' rule, multiple evidence, normalization, Naive Bayes",""
"10/9/26","F","19","Bayesian Networks I -- Representation and Exact Inference -- graphical structure, conditional independence, CPTs, joint distributions, inference by enumeration / variable elimination",""
"10/12/26","M","20","Bayesian Networks II -- Sampling and Approximate Inference -- prior sampling, rejection sampling, likelihood weighting, Gibbs sampling",""
"10/14/26","W","21","Reasoning Over Time -- filtering, state estimation, HMM/Kalman-filter intuition",""
"10/16/26","F","22","Utility Theory and Decision Networks -- preferences, expected utility, rational decisions",""
"10/19/26","M","23","Markov Decision Processes -- states, actions, rewards, policies, value functions",""
"10/21/26","W","24","Midterm Review -- search, logic, probability, decision making",""
"10/23/26","F","25","Midterm",""
"10/26/26","M","26","Machine Learning Foundations -- supervised learning, regression/classification, curve fitting",""
"10/28/26","W","27","Decision Trees -- recursive partitioning, information gain, pruning",""
"10/30/26","F","Personal Day","",""
"11/2/26","M","28","Generalization and Ensemble Learning -- train/test evaluation, overfitting, random forests, ensembles",""
"11/4/26","W","29","Neural Networks -- perceptrons, multilayer networks, activation functions, backpropagation",""
"11/6/26","F","30","Deep Learning -- representation learning, CNNs, modern architectures",""
"11/9/26","M","31","Unsupervised Learning -- clustering, dimensionality reduction, learned representations",""
"11/11/26","W","Veterans Day","",""
"11/13/26","F","32","Reinforcement Learning I -- agents, rewards, return, value functions, MDP connection",""
"11/16/26","M","33","Reinforcement Learning II -- Q-learning, exploration, approximate/deep RL",""
"11/18/26","W","34","Natural Language Processing -- language representation, sequence modeling, NLP tasks",""
"11/20/26","F","35","Transformers and Large Language Models -- attention, transformers, pretraining, generation",""
"11/23/26","M","Fall Break","",""
"11/25/26","W","Fall Break","",""
"11/27/26","F","Fall Break","",""
"11/30/26","M","36","Computer Vision and Robotics -- perception, CNN-based vision, localization, planning and control",""
"12/2/26","W","37","AI Ethics, Safety, and Society -- bias, alignment, accountability, societal impact",""
"12/4/26","F","38","Contemporary AI Research -- current research directions, open problems, course synthesis",""
"12/7/26","M","Presentations","",""
"12/9/26","W","Presentations","",""
"12/11/26","F","Presentations","",""
